,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt
77,James White,RB,26.218000000000004,9/9/2018,NFL,NWE,,HOU,W 27-20,1,1,Sun,9,4,38,9.5,1,44.4,4.22
78,Bruce Ellington,WR,27.018,9/9/2018,NFL,HOU,@,NWE,L 20-27,1,1,Sun,8,4,37,9.25,1,50.0,4.63
79,Luke Stocker,TE,30.054000000000002,9/9/2018,NFL,TEN,@,MIA,L 20-27,1,1,Sun,2,2,37,18.5,0,100.0,18.5
80,Robert Woods,WR,26.153000000000002,9/10/2018,NFL,LAR,@,OAK,W 33-13,1,1,Mon,9,3,37,12.33,0,33.3,4.11
81,Anthony Sherman,FB,29.272,9/9/2018,NFL,KAN,@,LAC,W 38-28,1,1,Sun,1,1,36,36.0,1,100.0,36.0
82,Dion Lewis,RB,27.346999999999998,9/9/2018,NFL,TEN,@,MIA,L 20-27,1,1,Sun,8,5,35,7.0,0,62.5,4.38
83,Rashaad Penny,RB,22.219,9/9/2018,NFL,SEA,@,DEN,L 24-27,1,1,Sun,5,4,35,8.75,0,80.0,7.0
84,Nelson Agholor,WR,25.105,9/6/2018,NFL,PHI,,ATL,W 18-12,1,1,Thu,10,8,33,4.13,0,80.0,3.3
85,Nyheim Hines,RB,21.301,9/9/2018,NFL,IND,,CIN,L 23-34,1,1,Sun,9,7,33,4.71,0,77.8,3.67
86,Greg Olsen,TE,33.181999999999995,9/9/2018,NFL,CAR,,DAL,W 16-8,1,1,Sun,2,2,33,16.5,0,100.0,16.5
87,Jamison Crowder,WR,25.084,9/9/2018,NFL,WAS,@,ARI,W 24-6,1,1,Sun,4,3,32,10.67,0,75.0,8.0
88,Maxx Williams,TE,24.15,9/9/2018,NFL,BAL,,BUF,W 47-3,1,1,Sun,3,3,32,10.67,0,100.0,10.67
89,Mark Andrews,TE,22.003,9/9/2018,NFL,BAL,,BUF,W 47-3,1,1,Sun,4,3,31,10.33,0,75.0,7.75
90,Phillip Lindsay,RB,24.046999999999997,9/9/2018,NFL,DEN,,SEA,W 27-24,1,1,Sun,3,2,31,15.5,1,66.7,10.33
91,Albert Wilson,WR,26.059,9/9/2018,NFL,MIA,,TEN,W 27-20,1,1,Sun,4,3,31,10.33,0,75.0,7.75
92,David Johnson,RB,26.267,9/9/2018,NFL,ARI,,WAS,L 6-24,1,1,Sun,9,5,30,6.0,0,55.6,3.33
93,Jake Butt,TE,23.06,9/9/2018,NFL,DEN,,SEA,W 27-24,1,1,Sun,4,2,29,14.5,0,50.0,7.25
94,Chris Carson,RB,23.358,9/9/2018,NFL,SEA,@,DEN,L 24-27,1,1,Sun,5,3,28,9.33,0,60.0,5.6
95,Trent Taylor,WR,24.131999999999998,9/9/2018,NFL,SFO,@,MIN,L 16-24,1,1,Sun,6,4,28,7.0,0,66.7,4.67
96,Adam Humphries,WR,25.076999999999998,9/9/2018,NFL,TAM,@,NOR,W 48-40,1,1,Sun,5,3,27,9.0,0,60.0,5.4
97,Neal Sterling,TE,26.239,9/10/2018,NFL,NYJ,@,DET,W 48-17,1,1,Mon,3,3,27,9.0,0,100.0,9.0
98,Jordan Thomas,TE,22.038,9/9/2018,NFL,HOU,@,NWE,L 20-27,1,1,Sun,2,1,27,27.0,0,50.0,13.5
99,Deonte Thompson,WR,29.206999999999997,9/9/2018,NFL,DAL,@,CAR,L 8-16,1,1,Sun,5,3,27,9.0,0,60.0,5.4
100,Danny Amendola,WR,32.311,9/9/2018,NFL,MIA,,TEN,W 27-20,1,1,Sun,6,4,26,6.5,0,66.7,4.33
101,Tyler Boyd,WR,23.298000000000002,9/9/2018,NFL,CIN,@,IND,W 34-23,1,1,Sun,5,3,26,8.67,0,60.0,5.2
102,Tevin Coleman,RB,25.143,9/6/2018,NFL,ATL,@,PHI,L 12-18,1,1,Thu,2,1,26,26.0,0,50.0,13.0
103,Zay Jones,WR,23.163,9/9/2018,NFL,BUF,@,BAL,L 3-47,1,1,Sun,6,3,26,8.67,0,50.0,4.33
104,Taylor Gabriel,WR,27.204,9/9/2018,NFL,CHI,@,GNB,L 23-24,1,1,Sun,5,5,25,5.0,0,100.0,5.0
105,Jordan Howard,RB,23.311,9/9/2018,NFL,CHI,@,GNB,L 23-24,1,1,Sun,5,5,25,5.0,0,100.0,5.0
106,Austin Seferian-Jenkins,TE,25.345,9/9/2018,NFL,JAX,@,NYG,W 20-15,1,1,Sun,5,3,25,8.33,0,60.0,5.0
107,Chase Edmonds,RB,22.149,9/9/2018,NFL,ARI,,WAS,L 6-24,1,1,Sun,4,4,24,6.0,0,100.0,6.0
108,Austin Hooper,TE,23.305999999999997,9/6/2018,NFL,ATL,@,PHI,L 12-18,1,1,Thu,4,3,24,8.0,0,75.0,6.0
109,Logan Thomas,TE,27.07,9/9/2018,NFL,BUF,@,BAL,L 3-47,1,1,Sun,2,1,24,24.0,0,50.0,12.0
110,Jordy Nelson,WR,33.102,9/10/2018,NFL,OAK,,LAR,L 13-33,1,1,Mon,4,3,23,7.67,0,75.0,5.75
111,Jarius Wright,WR,28.288,9/9/2018,NFL,CAR,,DAL,W 16-8,1,1,Sun,5,3,23,7.67,0,60.0,4.6
