,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt
504,Rob Gronkowski,TE,29.131999999999998,9/23/2018,NFL,NWE,@,DET,L 10-26,3,3,Sun,5,4,51,12.75,0,80.0,10.2
505,Todd Gurley,HB,24.051,9/23/2018,NFL,LAR,,LAC,W 35-23,3,3,Sun,6,5,51,10.2,0,83.3,8.5
506,Tyreek Hill,WR,24.206,9/23/2018,NFL,KAN,,SFO,W 38-27,3,3,Sun,5,2,51,25.5,0,40.0,10.2
507,Antonio Brown,WR,30.076,9/24/2018,NFL,PIT,@,TAM,W 30-27,3,3,Mon,9,6,50,8.33,1,66.7,5.56
508,T.Y. Hilton,WR,28.313000000000002,9/23/2018,NFL,IND,@,PHI,L 16-20,3,3,Sun,10,5,50,10.0,0,50.0,5.0
509,Allen Robinson,WR,25.03,9/23/2018,NFL,CHI,@,ARI,W 16-14,3,3,Sun,7,3,50,16.67,0,42.9,7.14
510,Ty Montgomery,RB,25.244,9/23/2018,NFL,GNB,@,WAS,L 17-31,3,3,Sun,7,6,49,8.17,0,85.7,7.0
511,Kyle Rudolph,TE,28.318,9/23/2018,NFL,MIN,,BUF,L 6-27,3,3,Sun,6,5,48,9.6,1,83.3,8.0
512,C.J. Ham,FB,25.063000000000002,9/23/2018,NFL,MIN,,BUF,L 6-27,3,3,Sun,6,5,47,9.4,0,83.3,7.83
513,Geoff Swaim,TE,25.006999999999998,9/23/2018,NFL,DAL,@,SEA,L 13-24,3,3,Sun,7,5,47,9.4,0,71.4,6.71
514,Cole Beasley,WR,29.15,9/23/2018,NFL,DAL,@,SEA,L 13-24,3,3,Sun,5,3,46,15.33,0,60.0,9.2
515,Paul Richardson,WR,26.163,9/23/2018,NFL,WAS,,GNB,W 31-17,3,3,Sun,2,1,46,46.0,1,50.0,23.0
516,T.J. Yeldon,RB,24.355999999999998,9/23/2018,NFL,JAX,,TEN,L 6-9,3,3,Sun,7,6,46,7.67,0,85.7,6.57
517,Antonio Gates,TE,38.097,9/23/2018,NFL,LAC,@,LAR,L 23-35,3,3,Sun,5,3,45,15.0,0,60.0,9.0
518,Jimmy Graham,TE,31.303,9/23/2018,NFL,GNB,@,WAS,L 17-31,3,3,Sun,7,5,45,9.0,0,71.4,6.43
519,Keenan Allen,WR,26.149,9/23/2018,NFL,LAC,@,LAR,L 23-35,3,3,Sun,7,3,44,14.67,0,42.9,6.29
520,Ryan Griffin,TE,28.255,9/23/2018,NFL,HOU,,NYG,L 22-27,3,3,Sun,4,2,44,22.0,0,50.0,11.0
521,Danny Amendola,WR,32.325,9/23/2018,NFL,MIA,,OAK,W 28-20,3,3,Sun,3,3,42,14.0,0,100.0,14.0
522,Lamar Miller,RB,27.151,9/23/2018,NFL,HOU,,NYG,L 22-27,3,3,Sun,6,5,41,8.2,1,83.3,6.83
523,Ito Smith,RB,23.011999999999997,9/23/2018,NFL,ATL,,NOR,L 37-43,3,3,Sun,4,3,41,13.67,0,75.0,10.25
524,Keelan Cole,WR,25.156,9/23/2018,NFL,JAX,,TEN,L 6-9,3,3,Sun,9,5,40,8.0,0,55.6,4.44
525,DeVante Parker,WR,25.246,9/23/2018,NFL,MIA,,OAK,W 28-20,3,3,Sun,3,2,40,20.0,0,66.7,13.33
526,Jamison Crowder,WR,25.098000000000003,9/23/2018,NFL,WAS,,GNB,W 31-17,3,3,Sun,4,4,39,9.75,1,100.0,9.75
527,Rhett Ellison,TE,29.355,9/23/2018,NFL,NYG,@,HOU,W 27-22,3,3,Sun,3,3,39,13.0,1,100.0,13.0
528,Willie Snead,WR,25.340999999999998,9/23/2018,NFL,BAL,,DEN,W 27-14,3,3,Sun,5,3,39,13.0,0,60.0,7.8
529,Kyle Juszczyk,FB,27.153000000000002,9/23/2018,NFL,SFO,@,KAN,L 27-38,3,3,Sun,4,2,38,19.0,1,50.0,9.5
530,Emmanuel Sanders,WR,31.19,9/23/2018,NFL,DEN,@,BAL,L 14-27,3,3,Sun,8,5,38,7.6,0,62.5,4.75
531,DeSean Jackson,WR,31.296999999999997,9/24/2018,NFL,TAM,,PIT,L 27-30,3,3,Mon,5,3,37,12.33,0,60.0,7.4
532,Courtland Sutton,WR,22.348000000000003,9/23/2018,NFL,DEN,@,BAL,L 14-27,3,3,Sun,3,2,37,18.5,0,66.7,12.33
533,David Njoku,TE,22.072,9/20/2018,NFL,CLE,,NYJ,W 21-17,3,3,Thu,2,2,36,18.0,0,100.0,18.0
534,Theo Riddick,RB,27.142,9/23/2018,NFL,DET,,NWE,W 26-10,3,3,Sun,3,3,36,12.0,0,100.0,12.0
535,Mohamed Sanu,WR,29.031999999999996,9/23/2018,NFL,ATL,,NOR,L 37-43,3,3,Sun,7,4,36,9.0,1,57.1,5.14
536,Saquon Barkley,RB,21.226,9/23/2018,NFL,NYG,@,HOU,W 27-22,3,3,Sun,5,5,35,7.0,0,100.0,7.0
537,Ryan Grant,WR,27.278000000000002,9/23/2018,NFL,IND,@,PHI,L 16-20,3,3,Sun,5,3,35,11.67,1,60.0,7.0
538,Tyler Higbee,TE,25.265,9/23/2018,NFL,LAR,,LAC,W 35-23,3,3,Sun,2,2,35,17.5,0,100.0,17.5
539,Jermaine Kearse,WR,28.226,9/20/2018,NFL,NYJ,@,CLE,L 17-21,3,3,Thu,6,3,35,11.67,0,50.0,5.83
540,Anthony Miller,WR,23.349,9/23/2018,NFL,CHI,@,ARI,W 16-14,3,3,Sun,5,4,35,8.75,0,80.0,7.0
541,Ricky Seals-Jones,TE,23.191999999999997,9/23/2018,NFL,ARI,,CHI,L 14-16,3,3,Sun,3,1,35,35.0,1,33.3,11.67
542,Wendell Smallwood,RB,24.237,9/23/2018,NFL,PHI,,IND,W 20-16,3,3,Sun,5,3,35,11.67,0,60.0,7.0
543,Devontae Booker,RB,26.119,9/23/2018,NFL,DEN,@,BAL,L 14-27,3,3,Sun,7,5,34,6.8,0,71.4,4.86
544,Cameron Brate,TE,27.083000000000002,9/24/2018,NFL,TAM,,PIT,L 27-30,3,3,Mon,4,3,34,11.33,1,75.0,8.5
545,James Conner,RB,23.142,9/24/2018,NFL,PIT,@,TAM,W 30-27,3,3,Mon,6,5,34,6.8,0,83.3,5.67
546,Corey Davis,WR,23.255,9/23/2018,NFL,TEN,@,JAX,W 9-6,3,3,Sun,4,2,34,17.0,0,50.0,8.5
547,Taylor Gabriel,WR,27.218000000000004,9/23/2018,NFL,CHI,@,ARI,W 16-14,3,3,Sun,10,6,34,5.67,0,60.0,3.4
548,Eric Ebron,TE,25.166,9/23/2018,NFL,IND,@,PHI,L 16-20,3,3,Sun,11,5,33,6.6,0,45.5,3.0
549,Laquon Treadwell,WR,23.101,9/23/2018,NFL,MIN,,BUF,L 6-27,3,3,Sun,4,4,33,8.25,0,100.0,8.25
550,Rashard Higgins,WR,23.348000000000003,9/20/2018,NFL,CLE,,NYJ,W 21-17,3,3,Thu,3,3,32,10.67,0,100.0,10.67
551,Jared Cook,TE,31.169,9/23/2018,NFL,OAK,@,MIA,L 20-28,3,3,Sun,6,5,31,6.2,0,83.3,5.17
552,Mike Gesicki,TE,22.355,9/23/2018,NFL,MIA,,OAK,W 28-20,3,3,Sun,3,3,31,10.33,0,100.0,10.33
553,Chris Hogan,WR,29.334,9/23/2018,NFL,NWE,@,DET,L 10-26,3,3,Sun,4,3,31,10.33,0,75.0,7.75
554,Dede Westbrook,WR,24.305999999999997,9/23/2018,NFL,JAX,,TEN,L 6-9,3,3,Sun,4,3,31,10.33,0,75.0,7.75
555,Martavis Bryant,WR,26.276999999999997,9/23/2018,NFL,OAK,@,MIA,L 20-28,3,3,Sun,5,2,30,15.0,0,40.0,6.0
556,Marquise Goodwin,WR,27.308000000000003,9/23/2018,NFL,SFO,@,KAN,L 27-38,3,3,Sun,4,3,30,10.0,1,75.0,7.5
557,Adam Humphries,WR,25.092,9/24/2018,NFL,TAM,,PIT,L 27-30,3,3,Mon,5,3,30,10.0,0,60.0,6.0
558,David Johnson,RB,26.281,9/23/2018,NFL,ARI,,CHI,L 14-16,3,3,Sun,4,4,30,7.5,1,100.0,7.5
559,Brandon Marshall,WR,34.184,9/23/2018,NFL,SEA,,DAL,W 24-13,3,3,Sun,6,2,30,15.0,0,33.3,5.0
560,Latavius Murray,HB,28.248,9/23/2018,NFL,MIN,,BUF,L 6-27,3,3,Sun,7,5,30,6.0,0,71.4,4.29
561,Taywan Taylor,WR,23.205,9/23/2018,NFL,TEN,@,JAX,W 9-6,3,3,Sun,5,4,30,7.5,0,80.0,6.0
562,Kelvin Benjamin,WR,27.23,9/23/2018,NFL,BUF,@,MIN,W 27-6,3,3,Sun,5,3,29,9.67,0,60.0,5.8
563,Andre Holmes,WR,30.099,9/23/2018,NFL,BUF,@,MIN,W 27-6,3,3,Sun,4,3,29,9.67,0,75.0,7.25
564,Spencer Ware,RB,26.304000000000002,9/23/2018,NFL,KAN,,SFO,W 38-27,3,3,Sun,3,2,29,14.5,0,66.7,9.67
565,Vyncint Smith,WR,22.105999999999998,9/23/2018,NFL,HOU,,NYG,L 22-27,3,3,Sun,2,1,28,28.0,0,50.0,14.0
566,Kendrick Bourne,WR,23.05,9/23/2018,NFL,SFO,@,KAN,L 27-38,3,3,Sun,2,1,27,27.0,0,50.0,13.5
567,Matt Breida,RB,23.206999999999997,9/23/2018,NFL,SFO,@,KAN,L 27-38,3,3,Sun,3,3,27,9.0,0,100.0,9.0
568,Nick Vannett,TE,25.201,9/23/2018,NFL,SEA,,DAL,W 24-13,3,3,Sun,5,4,27,6.75,0,80.0,5.4
569,Rex Burkhead,RB,28.083000000000002,9/23/2018,NFL,NWE,@,DET,L 10-26,3,3,Sun,3,2,26,13.0,0,66.7,8.67
570,Jason Croom,TE,24.206999999999997,9/23/2018,NFL,BUF,@,MIN,W 27-6,3,3,Sun,1,1,26,26.0,1,100.0,26.0
571,Giovani Bernard,HB,26.305,9/23/2018,NFL,CIN,@,CAR,L 21-31,3,3,Sun,9,5,25,5.0,0,55.6,2.78
572,Jaron Brown,WR,28.258000000000003,9/23/2018,NFL,SEA,,DAL,W 24-13,3,3,Sun,2,2,25,12.5,1,100.0,12.5
573,Austin Carr,WR,24.272,9/23/2018,NFL,NOR,@,ATL,W 43-37,3,3,Sun,2,1,25,25.0,0,50.0,12.5
574,Nyheim Hines,RB,21.315,9/23/2018,NFL,IND,@,PHI,L 16-20,3,3,Sun,5,5,25,5.0,0,100.0,5.0
575,Terrelle Pryor,WR,29.092,9/20/2018,NFL,NYJ,@,CLE,L 17-21,3,3,Thu,3,1,25,25.0,0,33.3,8.33
576,James Washington,WR,22.175,9/24/2018,NFL,PIT,@,TAM,W 30-27,3,3,Mon,2,2,25,12.5,0,100.0,12.5
577,Nelson Agholor,WR,25.122,9/23/2018,NFL,PHI,,IND,W 20-16,3,3,Sun,5,4,24,6.0,0,80.0,4.8
578,C.J. Anderson,RB,27.225,9/23/2018,NFL,CAR,,CIN,W 31-21,3,3,Sun,1,1,24,24.0,1,100.0,24.0
579,Austin Ekeler,RB,23.129,9/23/2018,NFL,LAC,@,LAR,L 23-35,3,3,Sun,3,3,24,8.0,0,100.0,8.0
580,Duke Johnson,RB,24.362,9/20/2018,NFL,CLE,,NYJ,W 21-17,3,3,Thu,2,2,24,12.0,0,100.0,12.0
581,Trent Taylor,WR,24.146,9/23/2018,NFL,SFO,@,KAN,L 27-38,3,3,Sun,4,3,24,8.0,0,75.0,6.0
582,Austin Hooper,TE,23.323,9/23/2018,NFL,ATL,,NOR,L 37-43,3,3,Sun,4,3,23,7.67,0,75.0,5.75
583,Deonte Thompson,WR,29.221,9/23/2018,NFL,DAL,@,SEA,L 13-24,3,3,Sun,2,2,23,11.5,0,100.0,11.5
584,Robby Anderson,WR,25.134,9/20/2018,NFL,NYJ,@,CLE,L 17-21,3,3,Thu,4,2,22,11.0,0,50.0,5.5
585,Chris Carson,RB,24.006999999999998,9/23/2018,NFL,SEA,,DAL,W 24-13,3,3,Sun,2,2,22,11.0,0,100.0,11.0
586,Randall Cobb,WR,28.031999999999996,9/23/2018,NFL,GNB,@,WAS,L 17-31,3,3,Sun,11,4,22,5.5,0,36.4,2.0
587,Allen Hurns,WR,26.315,9/23/2018,NFL,DAL,@,SEA,L 13-24,3,3,Sun,4,2,22,11.0,0,50.0,5.5
588,Marshawn Lynch,RB,32.154,9/23/2018,NFL,OAK,@,MIA,L 20-28,3,3,Sun,4,3,22,7.33,0,75.0,5.5
589,Tyrell Williams,LCB,26.223000000000003,9/23/2018,NFL,LAC,@,LAR,L 23-35,3,3,Sun,3,2,22,11.0,0,66.7,7.33
590,Jordan Matthews,WR,26.069000000000003,9/23/2018,NFL,PHI,,IND,W 20-16,3,3,Sun,2,2,21,10.5,0,100.0,10.5
591,Antonio Callaway,WR,21.254,9/20/2018,NFL,CLE,,NYJ,W 21-17,3,3,Thu,11,4,20,5.0,0,36.4,1.82
592,Jordan Howard,RB,23.325,9/23/2018,NFL,CHI,@,ARI,W 16-14,3,3,Sun,2,2,20,10.0,0,100.0,10.0
593,Ian Thomas,TE,22.109,9/23/2018,NFL,CAR,,CIN,W 31-21,3,3,Sun,5,3,20,6.67,0,60.0,4.0
594,Javorius Allen,RB,27.026999999999997,9/23/2018,NFL,BAL,,DEN,W 27-14,3,3,Sun,4,3,19,6.33,1,75.0,4.75
595,Corey Clement,RB,23.325,9/23/2018,NFL,PHI,,IND,W 20-16,3,3,Sun,4,3,19,6.33,0,75.0,4.75
596,Evan Engram,TE,24.021,9/23/2018,NFL,NYG,@,HOU,W 27-22,3,3,Sun,1,1,19,19.0,0,100.0,19.0
597,Torrey Smith,WR,29.24,9/23/2018,NFL,CAR,,CIN,W 31-21,3,3,Sun,6,3,19,6.33,0,50.0,3.17
598,C.J. Uzomah,TE,25.252,9/23/2018,NFL,CIN,@,CAR,L 21-31,3,3,Sun,2,2,19,9.5,1,100.0,9.5
599,Jordan Akins,TE,26.156999999999996,9/23/2018,NFL,HOU,,NYG,L 22-27,3,3,Sun,1,1,18,18.0,0,100.0,18.0
600,Charles Clay,TE,29.221999999999998,9/23/2018,NFL,BUF,@,MIN,W 27-6,3,3,Sun,3,2,18,9.0,0,66.7,6.0
601,Jacquizz Rodgers,RB,28.23,9/24/2018,NFL,TAM,,PIT,L 27-30,3,3,Mon,3,2,18,9.0,0,66.7,6.0
602,Austin Seferian-Jenkins,TE,25.359,9/23/2018,NFL,JAX,,TEN,L 6-9,3,3,Sun,5,3,18,6.0,0,60.0,3.6
603,LeGarrette Blount,RB,31.291999999999998,9/23/2018,NFL,DET,,NWE,W 26-10,3,3,Sun,2,2,17,8.5,0,100.0,8.5
604,Amari Cooper,WR,24.096999999999998,9/23/2018,NFL,OAK,@,MIA,L 20-28,3,3,Sun,5,2,17,8.5,0,40.0,3.4
605,Isaiah Crowell,RB,25.255,9/20/2018,NFL,NYJ,@,CLE,L 17-21,3,3,Thu,3,2,17,8.5,0,66.7,5.67
606,Stefon Diggs,WR,24.298000000000002,9/23/2018,NFL,MIN,,BUF,L 6-27,3,3,Sun,10,4,17,4.25,0,40.0,1.7
607,Michael Gallup,WR,22.171999999999997,9/23/2018,NFL,DAL,@,SEA,L 13-24,3,3,Sun,4,1,17,17.0,0,25.0,4.25
608,Josh Hill,TE,28.125,9/23/2018,NFL,NOR,@,ATL,W 43-37,3,3,Sun,1,1,17,17.0,0,100.0,17.0
609,Zay Jones,WR,23.177,9/23/2018,NFL,BUF,@,MIN,W 27-6,3,3,Sun,1,1,17,17.0,0,100.0,17.0
610,A.J. Derby,TE,27.003,9/23/2018,NFL,MIA,,OAK,W 28-20,3,3,Sun,1,1,16,16.0,0,100.0,16.0
611,Tyler Kroft,TE,25.343000000000004,9/23/2018,NFL,CIN,@,CAR,L 21-31,3,3,Sun,1,1,16,16.0,0,100.0,16.0
612,Donte Moncrief,WR,25.048000000000002,9/23/2018,NFL,JAX,,TEN,L 6-9,3,3,Sun,3,2,16,8.0,0,66.7,5.33
613,John Ross,WR,23.3,9/23/2018,NFL,CIN,@,CAR,L 21-31,3,3,Sun,7,3,16,5.33,0,42.9,2.29
614,Anthony Sherman,FB,29.285999999999998,9/23/2018,NFL,KAN,,SFO,W 38-27,3,3,Sun,1,1,16,16.0,0,100.0,16.0
615,Damien Williams,RB,26.173000000000002,9/23/2018,NFL,KAN,,SFO,W 38-27,3,3,Sun,2,2,16,8.0,0,100.0,8.0
616,Jamaal Williams,RB,23.173000000000002,9/23/2018,NFL,GNB,@,WAS,L 17-31,3,3,Sun,3,2,16,8.0,0,66.7,5.33
617,Tarik Cohen,RB,23.059,9/23/2018,NFL,CHI,@,ARI,W 16-14,3,3,Sun,3,3,15,5.0,0,100.0,5.0
618,Cody Latimer,WR,25.348000000000003,9/23/2018,NFL,NYG,@,HOU,W 27-22,3,3,Sun,2,1,15,15.0,0,50.0,7.5
619,Tevin Coleman,RB,25.16,9/23/2018,NFL,ATL,,NOR,L 37-43,3,3,Sun,3,2,14,7.0,1,66.7,4.67
620,Dion Lewis,RB,27.361,9/23/2018,NFL,TEN,@,JAX,W 9-6,3,3,Sun,3,3,14,4.67,0,100.0,4.67
621,Chester Rogers,WR,24.254,9/23/2018,NFL,IND,@,PHI,L 16-20,3,3,Sun,4,2,14,7.0,0,50.0,3.5
622,Eric Tomlinson,TE,26.151,9/20/2018,NFL,NYJ,@,CLE,L 17-21,3,3,Thu,2,1,14,14.0,0,50.0,7.0
623,James White,RB,26.232,9/23/2018,NFL,NWE,@,DET,L 10-26,3,3,Sun,3,3,14,4.67,1,100.0,4.67
624,Chris Conley,WR,25.333000000000002,9/23/2018,NFL,KAN,,SFO,W 38-27,3,3,Sun,3,2,13,6.5,1,66.7,4.33
625,Demetrius Harris,TE,27.055999999999997,9/23/2018,NFL,KAN,,SFO,W 38-27,3,3,Sun,3,1,13,13.0,1,33.3,4.33
626,Derrick Coleman,FB,27.34,9/23/2018,NFL,ARI,,CHI,L 14-16,3,3,Sun,1,1,12,12.0,0,100.0,12.0
627,Ted Ginn,WR,33.164,9/23/2018,NFL,NOR,@,ATL,W 43-37,3,3,Sun,6,3,12,4.0,1,50.0,2.0
628,Josh Malone,WR,22.186,9/23/2018,NFL,CIN,@,CAR,L 21-31,3,3,Sun,3,1,12,12.0,0,33.3,4.0
629,Cordarrelle Patterson,WR,27.19,9/23/2018,NFL,NWE,@,DET,L 10-26,3,3,Sun,1,1,12,12.0,0,100.0,12.0
630,Ezekiel Elliott,RB,23.063000000000002,9/23/2018,NFL,DAL,@,SEA,L 13-24,3,3,Sun,8,3,11,3.67,0,37.5,1.38
631,Pierre Garcon,WR,32.046,9/23/2018,NFL,SFO,@,KAN,L 27-38,3,3,Sun,4,1,11,11.0,0,25.0,2.75
632,Dwayne Harris,WR,31.006999999999998,9/23/2018,NFL,OAK,@,MIA,L 20-28,3,3,Sun,2,2,11,5.5,0,100.0,5.5
633,Cameron Meredith,WR,26.002,9/23/2018,NFL,NOR,@,ATL,W 43-37,3,3,Sun,1,1,11,11.0,1,100.0,11.0
634,Logan Paulsen,TE,31.209,9/23/2018,NFL,ATL,,NOR,L 37-43,3,3,Sun,1,1,11,11.0,0,100.0,11.0
635,Luke Stocker,TE,30.068,9/23/2018,NFL,TEN,@,JAX,W 9-6,3,3,Sun,2,1,11,11.0,0,50.0,5.5
636,Bruce Ellington,WR,27.031999999999996,9/23/2018,NFL,HOU,,NYG,L 22-27,3,3,Sun,1,1,10,10.0,0,100.0,10.0
637,Christian McCaffrey,RB,22.108,9/23/2018,NFL,CAR,,CIN,W 31-21,3,3,Sun,2,2,10,5.0,0,100.0,5.0
638,Joshua Perkins,TE,25.049,9/23/2018,NFL,PHI,,IND,W 20-16,3,3,Sun,4,1,10,10.0,0,25.0,2.5
639,Luke Willson,TE,28.250999999999998,9/23/2018,NFL,DET,,NWE,W 26-10,3,3,Sun,3,2,10,5.0,0,66.7,3.33
640,Benny Cunningham,RB,28.078000000000003,9/23/2018,NFL,CHI,@,ARI,W 16-14,3,3,Sun,2,1,9,9.0,0,50.0,4.5
641,Larry Fitzgerald,WR,35.023,9/23/2018,NFL,ARI,,CHI,L 14-16,3,3,Sun,2,2,9,4.5,0,100.0,4.5
642,Jermaine Gresham,TE,30.099,9/23/2018,NFL,ARI,,CHI,L 14-16,3,3,Sun,2,1,9,9.0,0,50.0,4.5
643,Kerryon Johnson,RB,21.085,9/23/2018,NFL,DET,,NWE,W 26-10,3,3,Sun,3,2,9,4.5,0,66.7,3.0
644,Aldrick Robinson,WR,29.364,9/23/2018,NFL,MIN,,BUF,L 6-27,3,3,Sun,1,1,9,9.0,0,100.0,9.0
645,Jonnu Smith,TE,23.031999999999996,9/23/2018,NFL,TEN,@,JAX,W 9-6,3,3,Sun,2,1,9,9.0,0,50.0,4.5
646,Ryan Switzer,WR,23.324,9/24/2018,NFL,PIT,@,TAM,W 30-27,3,3,Mon,3,3,9,3.0,1,100.0,3.0
647,Shaun Wilson,RB,22.296,9/24/2018,NFL,TAM,,PIT,L 27-30,3,3,Mon,2,2,9,4.5,0,100.0,4.5
648,Jake Butt,TE,23.074,9/23/2018,NFL,DEN,@,BAL,L 14-27,3,3,Sun,4,2,8,4.0,0,50.0,2.0
649,Raheem Mostert,RB,26.166999999999998,9/23/2018,NFL,SFO,@,KAN,L 27-38,3,3,Sun,1,1,8,8.0,0,100.0,8.0
650,Chad Williams,WR,23.339000000000002,9/23/2018,NFL,ARI,,CHI,L 14-16,3,3,Sun,4,1,8,8.0,0,25.0,2.0
651,Garrett Celek,TE,30.116999999999997,9/23/2018,NFL,SFO,@,KAN,L 27-38,3,3,Sun,1,1,7,7.0,0,100.0,7.0
652,Tyler Conklin,TE,23.055,9/23/2018,NFL,MIN,,BUF,L 6-27,3,3,Sun,1,1,7,7.0,0,100.0,7.0
653,Mike Davis,RB,25.215999999999998,9/23/2018,NFL,SEA,,DAL,W 24-13,3,3,Sun,1,1,7,7.0,0,100.0,7.0
654,Kenyan Drake,RB,24.24,9/23/2018,NFL,MIA,,OAK,W 28-20,3,3,Sun,4,2,7,3.5,0,50.0,1.75
655,Marvin Hall,WR,25.166,9/23/2018,NFL,ATL,,NOR,L 37-43,3,3,Sun,1,1,7,7.0,0,100.0,7.0
656,Jeff Heuerman,TE,25.303,9/23/2018,NFL,DEN,@,BAL,L 14-27,3,3,Sun,4,2,7,3.5,0,50.0,1.75
657,Jesse James,TE,24.112,9/24/2018,NFL,PIT,@,TAM,W 30-27,3,3,Mon,1,1,7,7.0,0,100.0,7.0
658,Darius Jennings,WR,26.087,9/23/2018,NFL,TEN,@,JAX,W 9-6,3,3,Sun,1,1,7,7.0,0,100.0,7.0
659,Marcus Kemp,WR,23.04,9/23/2018,NFL,KAN,,SFO,W 38-27,3,3,Sun,1,1,7,7.0,0,100.0,7.0
660,Erik Swoope,TE,26.138,9/23/2018,NFL,IND,@,PHI,L 16-20,3,3,Sun,1,1,7,7.0,0,100.0,7.0
661,Jarius Wright,WR,28.302,9/23/2018,NFL,CAR,,CIN,W 31-21,3,3,Sun,1,1,7,7.0,0,100.0,7.0
662,Alex Collins,RB,24.028000000000002,9/23/2018,NFL,BAL,,DEN,W 27-14,3,3,Sun,4,3,6,2.0,0,75.0,1.5
663,Virgil Green,TE,30.051,9/23/2018,NFL,LAC,@,LAR,L 23-35,3,3,Sun,1,1,6,6.0,0,100.0,6.0
664,Zach Line,FB,28.12,9/23/2018,NFL,NOR,@,ATL,W 43-37,3,3,Sun,2,2,6,3.0,1,100.0,3.0
665,Ray-Ray McCloud,FB,21.343000000000004,9/23/2018,NFL,BUF,@,MIN,W 27-6,3,3,Sun,1,1,6,6.0,0,100.0,6.0
666,Tommy Bohanon,FB,28.013,9/23/2018,NFL,JAX,,TEN,L 6-9,3,3,Sun,2,1,5,5.0,0,50.0,2.5
667,Royce Freeman,RB,22.211,9/23/2018,NFL,DEN,@,BAL,L 14-27,3,3,Sun,1,1,5,5.0,0,100.0,5.0
668,Carlos Hyde,RB,28.0,9/20/2018,NFL,CLE,,NYJ,W 21-17,3,3,Thu,2,2,5,2.5,0,100.0,2.5
669,Aaron Jones,RB,23.295,9/23/2018,NFL,GNB,@,WAS,L 17-31,3,3,Sun,1,1,5,5.0,0,100.0,5.0
670,Maxx Williams,TE,24.164,9/23/2018,NFL,BAL,,DEN,W 27-14,3,3,Sun,1,1,5,5.0,0,100.0,5.0
671,Alfred Blue,RB,27.149,9/23/2018,NFL,HOU,,NYG,L 22-27,3,3,Sun,1,1,4,4.0,0,100.0,4.0
672,Will Dissly,TE,22.076999999999998,9/23/2018,NFL,SEA,,DAL,W 24-13,3,3,Sun,3,1,4,4.0,0,33.3,1.33
673,Melvin Gordon,RB,25.163,9/23/2018,NFL,LAC,@,LAR,L 23-35,3,3,Sun,4,2,4,2.0,0,50.0,1.0
674,T.J. Jones,WR,26.066,9/23/2018,NFL,DET,,NWE,W 26-10,3,3,Sun,2,1,4,4.0,0,50.0,2.0
675,Gerald Everett,TE,24.09,9/23/2018,NFL,LAR,,LAC,W 35-23,3,3,Sun,2,1,3,3.0,0,50.0,1.5
676,Rishard Matthews,WR,28.346,9/23/2018,NFL,TEN,@,JAX,W 9-6,3,3,Sun,2,1,3,3.0,0,50.0,1.5
677,D.J. Moore,WR,21.162,9/23/2018,NFL,CAR,,CIN,W 31-21,3,3,Sun,2,1,3,3.0,0,50.0,1.5
678,Zach Pascal,WR,23.279,9/23/2018,NFL,IND,@,PHI,L 16-20,3,3,Sun,2,1,3,3.0,0,50.0,1.5
679,Tavon Austin,WR,28.191999999999997,9/23/2018,NFL,DAL,@,SEA,L 13-24,3,3,Sun,3,3,2,0.67,1,100.0,0.67
680,Josh Bellamy,WR,29.128,9/23/2018,NFL,CHI,@,ARI,W 16-14,3,3,Sun,1,1,2,2.0,0,100.0,2.0
681,Nick Boyle,TE,25.218000000000004,9/23/2018,NFL,BAL,,DEN,W 27-14,3,3,Sun,1,1,2,2.0,0,100.0,2.0
682,Keith Smith,FB,26.168000000000003,9/23/2018,NFL,OAK,@,MIA,L 20-28,3,3,Sun,1,1,2,2.0,0,100.0,2.0
683,Marcus Murphy,RB,27.197,9/23/2018,NFL,BUF,@,MIN,W 27-6,3,3,Sun,1,1,1,1.0,0,100.0,1.0
684,Jordan Wilkins,RB,24.066999999999997,9/23/2018,NFL,IND,@,PHI,L 16-20,3,3,Sun,2,2,1,0.5,0,100.0,0.5
685,Jonathan Williams,RB,24.233,9/23/2018,NFL,NOR,@,ATL,W 43-37,3,3,Sun,1,1,1,1.0,0,100.0,1.0
686,Mike Boone,RB,23.085,9/23/2018,NFL,MIN,,BUF,L 6-27,3,3,Sun,1,1,0,0.0,0,100.0,0.0
687,Chris Thompson,RB,27.338,9/23/2018,NFL,WAS,,GNB,W 31-17,3,3,Sun,2,1,0,0.0,0,50.0,0.0
688,Corey Grant,RB,26.278000000000002,9/23/2018,NFL,JAX,,TEN,L 6-9,3,3,Sun,2,1,-1,-1.0,0,50.0,-0.5
689,Chris Herndon,TE,22.209,9/20/2018,NFL,NYJ,@,CLE,L 17-21,3,3,Thu,2,2,-1,-0.5,0,100.0,-0.5
690,Sony Michel,RB,23.218000000000004,9/23/2018,NFL,NWE,@,DET,L 10-26,3,3,Sun,3,1,-1,-1.0,0,33.3,-0.33
691,Ryan Kelly,C,25.116,9/23/2018,NFL,IND,@,PHI,L 16-20,3,3,Sun,1,1,-4,-4.0,0,100.0,-4.0
692,Nick Bellore,FB,29.134,9/23/2018,NFL,DET,,NWE,W 26-10,3,3,Sun,1,1,-5,-5.0,0,100.0,-5.0
