,Age,Fantasy Points,Opp RYPG,Opp PYPG,Rush Att/G,Rush Yds/G,Rush TDs/G,Tgt/G,Rec/G,Rec Yds/G,Rec TDs/G
735,23.107,15.1,117.875,207.75,5.5,19.9,0.0,1.9,1.6,12.5,0.0
736,22.013,6.0,140.375,236.4375,6.0,25.5,0.1,4.9,3.8,22.6,0.2
737,24.055,3.3000000000000003,102.8125,260.75,1.6,6.2,0.0,1.0,0.7,6.6,0.0
738,24.177,3.1,111.5,239.125,1.3,6.0,0.0,1.1,0.6,6.4,0.0
739,25.316,11.1,87.0625,217.9375,1.7,8.4,0.2,1.5,1.0,8.3,0.1
740,22.274,1.7000000000000002,91.3125,216.375,7.8,33.2,0.5,0.6,0.5,2.8,0.0
741,25.063000000000002,4.4,140.3125,253.75,2.0,13.1,0.0,3.3,2.5,26.6,0.3
742,25.054000000000002,4.300000000000002,97.9375,171.25,8.9,36.9,0.1,6.3,4.4,40.6,0.4
743,24.264,1.5,134.9375,198.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744,23.119,15.4,105.25,224.0,5.6,25.6,0.1,4.8,3.4,42.9,0.3
745,25.279,1.4,98.75,239.0625,7.9,36.9,0.3,2.6,2.1,12.8,0.1
746,30.248,1.4,111.0625,191.8125,7.7,27.7,0.1,1.9,1.2,15.9,0.0
747,24.02,2.0,105.25,224.0,15.5,52.3,0.5,1.4,1.3,10.0,0.0
748,27.201999999999998,9.5,77.8125,213.625,0.9,3.0,0.0,2.1,1.6,8.5,0.0
749,27.003,2.7,115.375,260.25,3.7,16.8,0.3,2.7,1.9,11.7,0.0
750,27.07,1.8,77.8125,213.625,0.1,1.2,0.0,0.0,0.0,0.0,0.0
751,28.06,7.6,77.5625,226.125,11.8,42.0,0.1,3.2,2.7,21.2,0.1
752,25.276,2.2,77.125,177.4375,1.8,7.0,0.0,0.0,0.0,0.0,0.0
753,25.031999999999996,9.8,105.25,224.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.0
754,26.316,0.7000000000000001,109.5,235.8125,1.2,4.0,0.0,0.4,0.4,2.2,0.0
755,25.22,9.8,76.4375,241.0625,11.4,50.0,0.2,3.3,2.6,25.1,0.4
756,23.236,0.5,98.125,177.75,7.1,27.2,0.1,1.6,1.0,7.7,0.0
757,22.296,0.4,98.75,239.0625,6.2,30.0,0.1,1.0,0.9,7.5,0.0
758,27.09,0.2,136.6875,222.9375,3.9,10.7,0.3,3.5,2.9,16.0,0.1
759,24.131,28.4,140.3125,253.75,12.272727272727273,70.9090909090909,0.5454545454545454,2.6363636363636362,2.1818181818181817,17.0,0.09090909090909091
760,24.121,30.0,105.25,224.0,19.09090909090909,94.81818181818181,1.1818181818181819,5.090909090909091,3.909090909090909,40.09090909090909,0.36363636363636365
761,21.296,16.1,77.8125,213.625,15.545454545454545,75.36363636363636,0.7272727272727273,7.909090909090909,6.454545454545454,52.81818181818182,0.36363636363636365
762,22.178,26.6,120.6875,236.875,13.909090909090908,68.81818181818181,0.45454545454545453,7.454545454545454,6.454545454545454,55.27272727272727,0.45454545454545453
763,27.221,12.0,115.375,260.25,14.272727272727273,70.27272727272727,0.2727272727272727,2.1818181818181817,1.5454545454545454,12.0,0.09090909090909091
764,25.32800000000001,12.7,99.5625,206.625,10.545454545454545,52.90909090909091,0.5454545454545454,1.9090909090909092,1.3636363636363635,12.545454545454545,0.0
765,33.257,15.8,102.8125,260.75,16.636363636363637,68.9090909090909,0.5454545454545454,1.7272727272727273,1.4545454545454546,16.09090909090909,0.09090909090909091
766,25.048000000000002,14.1,117.375,258.0625,2.1818181818181817,10.363636363636363,0.0,3.5454545454545454,3.1818181818181817,26.09090909090909,0.0
767,22.038,8.5,109.5,235.8125,5.0,26.545454545454547,0.18181818181818182,0.6363636363636364,0.36363636363636365,2.272727272727273,0.0
768,23.114,14.6,111.5,239.125,5.909090909090909,20.727272727272727,0.0,2.0,1.7272727272727273,15.636363636363637,0.09090909090909091
769,23.233,8.200000000000001,125.0625,233.3125,4.818181818181818,27.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.0
770,22.131,10.5,106.0625,225.625,12.909090909090908,61.18181818181818,0.45454545454545453,3.6363636363636362,2.8181818181818183,22.09090909090909,0.09090909090909091
771,24.03,8.5,121.125,223.5625,14.727272727272727,48.72727272727273,0.45454545454545453,1.4545454545454546,1.2727272727272727,9.272727272727273,0.0
772,23.13,22.5,76.4375,241.0625,19.727272727272727,97.63636363636364,0.5454545454545454,5.636363636363637,4.2727272727272725,33.0,0.18181818181818182
773,24.076999999999998,12.3,104.75,215.6875,13.090909090909092,57.72727272727273,0.36363636363636365,1.0909090909090908,0.9090909090909091,8.0,0.0
774,26.351,7.7,117.875,207.75,16.818181818181817,62.90909090909091,0.5454545454545454,4.454545454545454,3.090909090909091,29.545454545454547,0.18181818181818182
775,22.303,12.5,104.75,215.6875,6.0,27.636363636363637,0.09090909090909091,0.9090909090909091,0.8181818181818182,6.818181818181818,0.0
776,23.224,14.7,91.3125,216.375,0.8181818181818182,5.454545454545454,0.0,0.09090909090909091,0.09090909090909091,1.0,0.0
777,23.288,7.5,98.125,177.75,11.545454545454545,53.27272727272727,0.45454545454545453,0.8181818181818182,0.5454545454545454,3.909090909090909,0.0
778,31.362,6.1000000000000005,125.25,218.75,8.454545454545455,24.90909090909091,0.45454545454545453,0.5454545454545454,0.5454545454545454,4.909090909090909,0.0
779,29.323,13.7,117.375,258.0625,7.909090909090909,34.90909090909091,0.09090909090909091,1.3636363636363635,1.1818181818181819,8.363636363636363,0.0
