,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt,Rush Att,Rush Yds,Rush Y/A,Rush TDs,Fantasy Points,Opp RYPG,Opp PYPG
311,Rishard Matthews,WR,28.339,9/16/2018,NFL,TEN,0,HOU,W 20-17,2,2,Sun,4,2,8,4.0,0,50.0,2.0,0.0,0.0,0.0,0.0,1.8,77.5625,226.125
312,John Ross,WR,23.29,9/13/2018,NFL,CIN,0,BAL,W 34-23,2,2,Thu,4,1,8,8.0,0,25.0,2.0,0.0,0.0,0.0,0.0,1.3,77.125,177.4375
313,Jason Croom,TE,24.2,9/16/2018,NFL,BUF,0,LAC,L 20-31,2,2,Sun,4,2,7,3.5,0,50.0,1.75,0.0,0.0,0.0,0.0,1.7000000000000002,98.1875,210.0625
314,Vernon Davis,TE,34.228,9/16/2018,NFL,WAS,0,IND,L 9-21,2,2,Sun,1,1,7,7.0,0,100.0,7.0,0.0,0.0,0.0,0.0,1.2000000000000002,96.75,228.4375
315,Logan Thomas,TE,27.077,9/16/2018,NFL,BUF,0,LAC,L 20-31,2,2,Sun,1,1,7,7.0,0,100.0,7.0,0.0,0.0,0.0,0.0,1.2000000000000002,98.1875,210.0625
316,Josh Bellamy,WR,29.122,9/17/2018,NFL,CHI,0,SEA,W 24-17,2,2,Mon,1,1,6,6.0,0,100.0,6.0,0.0,0.0,0.0,0.0,1.1,108.125,235.6875
317,Derek Carrier,TE,28.053,9/16/2018,NFL,OAK,@,DEN,L 19-20,2,2,Sun,1,1,5,5.0,0,100.0,5.0,0.0,0.0,0.0,0.0,1.0,106.0625,225.625
318,Rhett Ellison,TE,29.34800000000001,9/16/2018,NFL,NYG,@,DAL,L 13-20,2,2,Sun,2,2,5,2.5,0,100.0,2.5,0.0,0.0,0.0,0.0,1.5,87.0625,217.9375
319,Michael Gallup,WR,22.165,9/16/2018,NFL,DAL,0,NYG,W 20-13,2,2,Sun,2,1,5,5.0,0,50.0,2.5,0.0,0.0,0.0,0.0,1.0,121.125,223.5625
320,Josh Hill,TE,28.118,9/16/2018,NFL,NOR,0,CLE,W 21-18,2,2,Sun,1,1,5,5.0,0,100.0,5.0,0.0,0.0,0.0,0.0,1.0,115.375,260.25
321,Kendrick Bourne,WR,23.04300000000001,9/16/2018,NFL,SFO,0,DET,W 30-27,2,2,Sun,1,1,4,4.0,1,100.0,4.0,0.0,0.0,0.0,0.0,6.9,105.25,224.0
322,Lance Kendricks,TE,30.229,9/16/2018,NFL,GNB,0,MIN,T 29-29,2,2,Sun,1,1,4,4.0,0,100.0,4.0,0.0,0.0,0.0,0.0,0.9,98.125,177.75
323,Tyler Higbee,TE,25.25800000000001,9/16/2018,NFL,LAR,0,ARI,W 34-0,2,2,Sun,2,1,3,3.0,1,50.0,1.5,0.0,0.0,0.0,0.0,6.8,134.9375,198.4375
324,Demarcus Robinson,WR,23.36,9/16/2018,NFL,KAN,@,PIT,W 42-37,2,2,Sun,1,1,3,3.0,1,100.0,3.0,0.0,0.0,0.0,0.0,6.8,91.3125,216.375
325,Marquez Valdes-Scantling,WR,23.341,9/16/2018,NFL,GNB,0,MIN,T 29-29,2,2,Sun,1,1,3,3.0,0,100.0,3.0,0.0,0.0,0.0,0.0,0.8,98.125,177.75
326,Jermaine Kearse,WR,28.222,9/16/2018,NFL,NYJ,0,MIA,L 12-20,2,2,Sun,2,1,-1,-1.0,0,50.0,-0.5,0.0,0.0,0.0,0.0,0.4,140.375,236.4375
327,Jordy Nelson,WR,33.115,9/23/2018,NFL,OAK,@,MIA,L 20-28,3,3,Sun,8,6,173,28.83,1,75.0,21.63,0.0,0.0,0.0,0.0,26.3,140.375,236.4375
328,Calvin Ridley,WR,23.277,9/23/2018,NFL,ATL,0,NOR,L 37-43,3,3,Sun,8,7,146,20.86,3,87.5,18.25,1.0,9.0,9.0,0.0,37.0,76.4375,241.0625
329,Mike Evans,WR,25.034,9/24/2018,NFL,TAM,0,PIT,L 27-30,3,3,Mon,11,6,137,22.83,1,54.5,12.45,0.0,0.0,0.0,0.0,22.70000000000001,91.3125,216.375
330,Tyler Boyd,WR,23.312,9/23/2018,NFL,CIN,@,CAR,L 21-31,3,3,Sun,7,6,132,22.0,1,85.7,18.86,1.0,5.0,5.0,0.0,22.70000000000001,98.75,239.0625
331,Michael Thomas,WR,25.204,9/23/2018,NFL,NOR,@,ATL,W 43-37,3,3,Sun,10,10,129,12.9,0,100.0,12.9,0.0,0.0,0.0,0.0,17.9,125.0625,233.3125
332,JuJu Smith-Schuster,WR,21.306,9/24/2018,NFL,PIT,@,TAM,W 30-27,3,3,Mon,11,9,116,12.89,0,81.8,10.55,0.0,0.0,0.0,0.0,16.1,120.6875,236.875
333,Travis Kelce,TE,28.353,9/23/2018,NFL,KAN,0,SFO,W 38-27,3,3,Sun,10,8,114,14.25,0,80.0,11.4,0.0,0.0,0.0,0.0,15.4,104.75,215.6875
334,Vance McDonald,TE,28.103,9/24/2018,NFL,PIT,@,TAM,W 30-27,3,3,Mon,4,4,112,28.0,1,100.0,28.0,0.0,0.0,0.0,0.0,19.200000000000006,120.6875,236.875
335,Odell Beckham,WR,25.322,9/23/2018,NFL,NYG,@,HOU,W 27-22,3,3,Sun,10,9,109,12.11,0,90.0,10.9,0.0,0.0,0.0,0.0,15.4,77.5625,226.125
336,Adam Thielen,WR,28.032,9/23/2018,NFL,MIN,0,BUF,L 6-27,3,3,Sun,19,14,105,7.5,0,73.7,5.53,0.0,0.0,0.0,0.0,17.5,97.9375,171.25
337,Robert Woods,WR,26.166,9/23/2018,NFL,LAR,0,LAC,W 35-23,3,3,Sun,11,10,104,10.4,2,90.9,9.45,3.0,13.0,4.33,0.0,28.70000000000001,98.1875,210.0625
338,Jarvis Landry,WR,25.296,9/20/2018,NFL,CLE,0,NYJ,W 21-17,3,3,Thu,14,8,103,12.88,0,57.1,7.36,0.0,0.0,0.0,0.0,14.3,124.4375,228.0625
339,Will Fuller,WR,24.16,9/23/2018,NFL,HOU,0,NYG,L 22-27,3,3,Sun,11,5,101,20.2,1,45.5,9.18,0.0,0.0,0.0,0.0,18.6,121.125,223.5625
340,Julio Jones,WR,29.232,9/23/2018,NFL,ATL,0,NOR,L 37-43,3,3,Sun,6,5,96,19.2,0,83.3,16.0,0.0,0.0,0.0,0.0,12.1,76.4375,241.0625
341,Brandin Cooks,WR,24.363000000000003,9/23/2018,NFL,LAR,0,LAC,W 35-23,3,3,Sun,8,7,90,12.86,0,87.5,11.25,0.0,0.0,0.0,0.0,12.5,98.1875,210.0625
342,Christian Kirk,WR,21.309,9/23/2018,NFL,ARI,0,CHI,L 14-16,3,3,Sun,8,7,90,12.86,0,87.5,11.25,0.0,0.0,0.0,0.0,12.5,77.8125,213.625
343,John Brown,WR,28.173,9/23/2018,NFL,BAL,0,DEN,W 27-14,3,3,Sun,9,5,86,17.2,0,55.6,9.56,0.0,0.0,0.0,0.0,11.1,106.0625,225.625
