,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt,Rush Att,Rush Yds,Rush Y/A,Rush TDs,Fantasy Points,Opp RYPG,Opp PYPG
793,Will Fuller,WR,24.174,10/7/2018,NFL,HOU,0,DAL,W 19-16,5,5,Sun,3,2,15,7.5,0,66.7,5.0,0.0,0.0,0.0,0.0,2.5,87.0625,217.9375
794,Eric Tomlinson,TE,26.16800000000001,10/7/2018,NFL,NYJ,0,DEN,W 34-16,5,5,Sun,3,2,15,7.5,0,66.7,5.0,0.0,0.0,0.0,0.0,2.5,106.0625,225.625
795,KhaDarel Hodge,WR,23.277,10/7/2018,NFL,LAR,@,SEA,W 33-31,5,5,Sun,1,1,14,14.0,0,100.0,14.0,0.0,0.0,0.0,0.0,1.9,108.125,235.6875
796,Jermaine Kearse,WR,28.243,10/7/2018,NFL,NYJ,0,DEN,W 34-16,5,5,Sun,4,1,14,14.0,0,25.0,3.5,0.0,0.0,0.0,0.0,1.9,106.0625,225.625
797,Virgil Green,TE,30.065,10/7/2018,NFL,LAC,0,OAK,W 26-10,5,5,Sun,1,1,13,13.0,1,100.0,13.0,0.0,0.0,0.0,0.0,7.8,136.6875,222.9375
798,De'Anthony Thomas,WR,25.275,10/7/2018,NFL,KAN,0,JAX,W 30-14,5,5,Sun,1,1,13,13.0,0,100.0,13.0,0.0,0.0,0.0,0.0,1.8,111.0625,191.8125
799,Charles Clay,TE,29.236,10/7/2018,NFL,BUF,0,TEN,W 13-12,5,5,Sun,1,1,12,12.0,0,100.0,12.0,0.0,0.0,0.0,0.0,1.7000000000000002,99.5625,206.625
800,Zach Pascal,WR,23.29,10/4/2018,NFL,IND,@,NWE,L 24-38,5,5,Thu,7,1,12,12.0,0,14.3,1.71,0.0,0.0,0.0,0.0,1.7000000000000002,111.5,239.125
801,Kelvin Benjamin,WR,27.244,10/7/2018,NFL,BUF,0,TEN,W 13-12,5,5,Sun,5,1,11,11.0,0,20.0,2.2,0.0,0.0,0.0,0.0,1.6,99.5625,206.625
802,Jermaine Gresham,TE,30.113000000000003,10/7/2018,NFL,ARI,@,SFO,W 28-18,5,5,Sun,1,1,11,11.0,0,100.0,11.0,0.0,0.0,0.0,0.0,1.6,104.75,215.6875
803,Blake Jarwin,TE,24.083,10/7/2018,NFL,DAL,@,HOU,L 16-19,5,5,Sun,2,1,11,11.0,0,50.0,5.5,0.0,0.0,0.0,0.0,1.6,77.5625,226.125
804,Cordarrelle Patterson,WR,27.201,10/4/2018,NFL,NWE,0,IND,W 38-24,5,5,Thu,2,2,11,5.5,1,100.0,5.5,0.0,0.0,0.0,0.0,8.1,96.75,228.4375
805,Jordan Thomas,TE,22.066,10/7/2018,NFL,HOU,0,DAL,W 19-16,5,5,Sun,1,1,11,11.0,0,100.0,11.0,0.0,0.0,0.0,0.0,1.6,87.0625,217.9375
806,Victor Bolden,WR,23.186,10/7/2018,NFL,SFO,0,ARI,L 18-28,5,5,Sun,4,1,10,10.0,0,25.0,2.5,0.0,0.0,0.0,0.0,1.5,134.9375,198.4375
807,Nick Boyle,TE,25.232,10/7/2018,NFL,BAL,@,CLE,L 9-12,5,5,Sun,2,1,10,10.0,0,50.0,5.0,0.0,0.0,0.0,0.0,1.5,115.375,260.25
808,Amari Cooper,WR,24.111,10/7/2018,NFL,OAK,@,LAC,L 10-26,5,5,Sun,1,1,10,10.0,0,100.0,10.0,0.0,0.0,0.0,0.0,1.5,98.1875,210.0625
809,Jordan Leggett,TE,23.249,10/7/2018,NFL,NYJ,0,DEN,W 34-16,5,5,Sun,1,1,10,10.0,0,100.0,10.0,0.0,0.0,0.0,0.0,1.5,106.0625,225.625
810,Jordan Akins,TE,26.171,10/7/2018,NFL,HOU,0,DAL,W 19-16,5,5,Sun,2,1,9,9.0,0,50.0,4.5,0.0,0.0,0.0,0.0,1.4,87.0625,217.9375
811,Jason Croom,TE,24.221,10/7/2018,NFL,BUF,0,TEN,W 13-12,5,5,Sun,2,2,9,4.5,0,100.0,4.5,0.0,0.0,0.0,0.0,1.9,99.5625,206.625
812,Xavier Grimble,TE,26.015,10/7/2018,NFL,PIT,0,ATL,W 41-17,5,5,Sun,1,1,9,9.0,0,100.0,9.0,0.0,0.0,0.0,0.0,1.4,125.0625,233.3125
813,Cole Beasley,WR,29.164,10/7/2018,NFL,DAL,@,HOU,L 16-19,5,5,Sun,3,1,8,8.0,0,33.3,2.67,0.0,0.0,0.0,0.0,1.3,77.5625,226.125
814,Darren Fells,TE,32.168,10/7/2018,NFL,CLE,0,BAL,W 12-9,5,5,Sun,1,1,8,8.0,0,100.0,8.0,0.0,0.0,0.0,0.0,1.3,77.125,177.4375
815,Marvin Jones,WR,28.209,10/7/2018,NFL,DET,0,GNB,W 31-23,5,5,Sun,4,1,8,8.0,1,25.0,2.0,0.0,0.0,0.0,0.0,7.3,117.875,207.75
816,Lance Kendricks,TE,30.25,10/7/2018,NFL,GNB,@,DET,L 23-31,5,5,Sun,2,2,8,4.0,1,100.0,4.0,0.0,0.0,0.0,0.0,7.8,105.25,224.0
817,Eric Saubert,TE,24.159,10/7/2018,NFL,ATL,@,PIT,L 17-41,5,5,Sun,2,1,8,8.0,0,50.0,4.0,0.0,0.0,0.0,0.0,1.3,91.3125,216.375
818,Maxx Williams,TE,24.178,10/7/2018,NFL,BAL,@,CLE,L 9-12,5,5,Sun,2,2,8,4.0,0,100.0,4.0,0.0,0.0,0.0,0.0,1.8,115.375,260.25
819,Hayden Hurst,TE,25.044,10/7/2018,NFL,BAL,@,CLE,L 9-12,5,5,Sun,2,1,7,7.0,0,50.0,3.5,0.0,0.0,0.0,0.0,1.2000000000000002,115.375,260.25
820,Richie James,WR,23.032,10/7/2018,NFL,SFO,0,ARI,L 18-28,5,5,Sun,1,1,7,7.0,0,100.0,7.0,0.0,0.0,0.0,0.0,1.2000000000000002,134.9375,198.4375
821,Ray-Ray McCloud,WR,21.357,10/7/2018,NFL,BUF,0,TEN,W 13-12,5,5,Sun,1,1,7,7.0,0,100.0,7.0,0.0,0.0,0.0,0.0,1.2000000000000002,99.5625,206.625
822,Michael Gallup,WR,22.186,10/7/2018,NFL,DAL,@,HOU,L 16-19,5,5,Sun,3,1,6,6.0,0,33.3,2.0,0.0,0.0,0.0,0.0,1.1,77.5625,226.125
823,Darius Jennings,WR,26.101,10/7/2018,NFL,TEN,@,BUF,L 12-13,5,5,Sun,1,1,6,6.0,0,100.0,6.0,0.0,0.0,0.0,0.0,1.1,97.9375,171.25
824,Vance McDonald,TE,28.116,10/7/2018,NFL,PIT,0,ATL,W 41-17,5,5,Sun,2,1,6,6.0,0,50.0,3.0,0.0,0.0,0.0,0.0,1.1,125.0625,233.3125
825,Tim Patrick,WR,24.318,10/7/2018,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,1,1,6,6.0,0,100.0,6.0,0.0,0.0,0.0,0.0,1.1,124.4375,228.0625
826,Brian Quick,WR,29.125,10/8/2018,NFL,WAS,@,NOR,L 19-43,4,5,Mon,1,1,6,6.0,0,100.0,6.0,0.0,0.0,0.0,0.0,1.1,76.4375,241.0625
827,Demetrius Harris,TE,27.07,10/7/2018,NFL,KAN,0,JAX,W 30-14,5,5,Sun,2,1,5,5.0,0,50.0,2.5,0.0,0.0,0.0,0.0,1.0,111.0625,191.8125
828,David Morgan,TE,25.141,10/7/2018,NFL,MIN,@,PHI,W 23-21,5,5,Sun,1,1,5,5.0,0,100.0,5.0,0.0,0.0,0.0,0.0,1.0,102.8125,260.75
829,Ryan Switzer,WR,23.337,10/7/2018,NFL,PIT,0,ATL,W 41-17,5,5,Sun,1,1,5,5.0,0,100.0,5.0,0.0,0.0,0.0,0.0,1.0,125.0625,233.3125
830,Jordan Matthews,WR,26.083,10/7/2018,NFL,PHI,0,MIN,L 21-23,5,5,Sun,1,1,4,4.0,0,100.0,4.0,0.0,0.0,0.0,0.0,0.9,98.125,177.75
831,Andre Roberts,WR,30.271,10/7/2018,NFL,NYJ,0,DEN,W 34-16,5,5,Sun,2,1,4,4.0,0,50.0,2.0,0.0,0.0,0.0,0.0,0.9,106.0625,225.625
832,Allen Hurns,WR,26.329,10/7/2018,NFL,DAL,@,HOU,L 16-19,5,5,Sun,2,1,3,3.0,1,50.0,1.5,0.0,0.0,0.0,0.0,6.8,77.5625,226.125
833,Doug Baldwin,WR,30.016,10/7/2018,NFL,SEA,0,LAR,L 31-33,5,5,Sun,1,1,1,1.0,0,100.0,1.0,0.0,0.0,0.0,0.0,0.6,125.25,218.75
834,Albert Wilson,WR,26.094,10/14/2018,NFL,MIA,0,CHI,W 31-28,6,6,Sun,9,6,155,25.83,2,66.7,17.22,0.0,0.0,0.0,0.0,30.5,77.8125,213.625
835,Julio Jones,WR,29.253,10/14/2018,NFL,ATL,0,TAM,W 34-29,6,6,Sun,14,10,144,14.4,0,71.4,10.29,0.0,0.0,0.0,0.0,19.4,120.6875,236.875
836,Tyreek Hill,WR,24.227,10/14/2018,NFL,KAN,@,NWE,L 40-43,6,6,Sun,12,7,142,20.29,3,58.3,11.83,0.0,0.0,0.0,0.0,35.7,111.5,239.125
837,Davante Adams,WR,25.295,10/15/2018,NFL,GNB,0,SFO,W 33-30,6,6,Mon,16,10,132,13.2,2,62.5,8.25,0.0,0.0,0.0,0.0,30.20000000000001,104.75,215.6875
838,Marquise Goodwin,WR,27.33,10/15/2018,NFL,SFO,@,GNB,L 30-33,6,6,Mon,5,4,126,31.5,2,80.0,25.2,1.0,5.0,5.0,0.0,27.1,117.875,207.75
839,Adam Thielen,WR,28.053,10/14/2018,NFL,MIN,0,ARI,W 27-17,6,6,Sun,13,11,123,11.18,1,84.6,9.46,0.0,0.0,0.0,0.0,23.8,134.9375,198.4375
840,Tyrell Williams,WR,26.244,10/14/2018,NFL,LAC,@,CLE,W 38-14,6,6,Sun,4,3,118,39.33,2,75.0,29.5,0.0,0.0,0.0,0.0,25.3,115.375,260.25
841,Emmanuel Sanders,WR,31.211,10/14/2018,NFL,DEN,0,LAR,L 20-23,6,6,Sun,10,7,115,16.43,1,70.0,11.5,0.0,0.0,0.0,0.0,21.0,125.25,218.75
842,JuJu Smith-Schuster,WR,21.326,10/14/2018,NFL,PIT,@,CIN,W 28-21,6,6,Sun,10,7,111,15.86,0,70.0,11.1,0.0,0.0,0.0,0.0,14.6,140.3125,253.75
843,Taylor Gabriel,WR,27.239,10/14/2018,NFL,CHI,@,MIA,L 28-31,5,6,Sun,5,5,110,22.0,0,100.0,22.0,1.0,9.0,9.0,0.0,14.4,140.375,236.4375
844,Robert Woods,WR,26.187,10/14/2018,NFL,LAR,@,DEN,W 23-20,6,6,Sun,10,7,109,15.57,0,70.0,10.9,1.0,12.0,12.0,0.0,15.6,106.0625,225.625
845,Antonio Brown,WR,30.096,10/14/2018,NFL,PIT,@,CIN,W 28-21,6,6,Sun,6,5,105,21.0,1,83.3,17.5,0.0,0.0,0.0,0.0,19.0,140.3125,253.75
846,Jimmy Graham,TE,31.325,10/15/2018,NFL,GNB,0,SFO,W 33-30,6,6,Mon,9,5,104,20.8,0,55.6,11.56,0.0,0.0,0.0,0.0,12.9,104.75,215.6875
847,Marquez Valdes-Scantling,WR,24.005,10/15/2018,NFL,GNB,0,SFO,W 33-30,6,6,Mon,6,3,103,34.33,0,50.0,17.17,0.0,0.0,0.0,0.0,11.8,104.75,215.6875
848,Cole Beasley,WR,29.171,10/14/2018,NFL,DAL,0,JAX,W 40-7,6,6,Sun,11,9,101,11.22,2,81.8,9.18,0.0,0.0,0.0,0.0,26.6,111.0625,191.8125
849,Rob Gronkowski,TE,29.153,10/14/2018,NFL,NWE,0,KAN,W 43-40,6,6,Sun,4,3,97,32.33,0,75.0,24.25,0.0,0.0,0.0,0.0,11.2,117.375,258.0625
850,Jermaine Kearse,WR,28.25,10/14/2018,NFL,NYJ,0,IND,W 42-34,6,6,Sun,10,9,94,10.44,0,90.0,9.4,0.0,0.0,0.0,0.0,13.9,96.75,228.4375
851,Michael Crabtree,WR,31.03,10/14/2018,NFL,BAL,@,TEN,W 21-0,6,6,Sun,9,6,93,15.5,1,66.7,10.33,0.0,0.0,0.0,0.0,18.3,99.5625,206.625
852,Nelson Agholor,WR,25.14,10/11/2018,NFL,PHI,@,NYG,W 34-13,6,6,Thu,5,3,91,30.33,0,60.0,18.2,0.0,0.0,0.0,0.0,10.6,121.125,223.5625
853,Doug Baldwin,WR,30.023000000000003,10/14/2018,NFL,SEA,@,OAK,W 27-3,6,6,Sun,8,6,91,15.17,0,75.0,11.38,0.0,0.0,0.0,0.0,12.1,136.6875,222.9375
854,A.J. Green,WR,30.075,10/14/2018,NFL,CIN,0,PIT,L 21-28,6,6,Sun,12,7,85,12.14,0,58.3,7.08,0.0,0.0,0.0,0.0,12.0,91.3125,216.375
855,Adam Humphries,WR,25.112,10/14/2018,NFL,TAM,@,ATL,L 29-34,5,6,Sun,4,3,82,27.33,0,75.0,20.5,0.0,0.0,0.0,0.0,9.7,125.0625,233.3125
856,Damion Ratley,WR,23.181,10/14/2018,NFL,CLE,0,LAC,L 14-38,6,6,Sun,8,6,82,13.67,0,75.0,10.25,0.0,0.0,0.0,0.0,11.2,98.1875,210.0625
857,Chris Hogan,WR,29.355,10/14/2018,NFL,NWE,0,KAN,W 43-40,6,6,Sun,4,4,78,19.5,0,100.0,19.5,0.0,0.0,0.0,0.0,9.8,117.375,258.0625
858,DeSean Jackson,WR,31.317,10/14/2018,NFL,TAM,@,ATL,L 29-34,5,6,Sun,9,4,77,19.25,0,44.4,8.56,1.0,7.0,7.0,0.0,10.4,125.0625,233.3125
859,Christian Kirk,WR,21.33,10/14/2018,NFL,ARI,@,MIN,L 17-27,6,6,Sun,7,6,77,12.83,0,85.7,11.0,0.0,0.0,0.0,0.0,10.7,98.125,177.75
860,Devin Funchess,WR,24.146,10/14/2018,NFL,CAR,@,WAS,L 17-23,5,6,Sun,8,5,74,14.8,1,62.5,9.25,0.0,0.0,0.0,0.0,15.9,109.5,235.8125
861,Alshon Jeffery,WR,28.239,10/11/2018,NFL,PHI,@,NYG,W 34-13,6,6,Thu,12,8,74,9.25,2,66.7,6.17,0.0,0.0,0.0,0.0,23.4,121.125,223.5625
862,Eric Ebron,TE,25.187,10/14/2018,NFL,IND,@,NYJ,L 34-42,6,6,Sun,7,4,71,17.75,1,57.1,10.14,0.0,0.0,0.0,0.0,15.1,124.4375,228.0625
863,Austin Hooper,TE,23.344,10/14/2018,NFL,ATL,0,TAM,W 34-29,6,6,Sun,10,9,71,7.89,1,90.0,7.1,0.0,0.0,0.0,0.0,17.6,120.6875,236.875
864,Ricky Seals-Jones,TE,23.213,10/14/2018,NFL,ARI,@,MIN,L 17-27,6,6,Sun,6,5,69,13.8,0,83.3,11.5,0.0,0.0,0.0,0.0,9.4,98.125,177.75
865,Vance McDonald,TE,28.123,10/14/2018,NFL,PIT,@,CIN,W 28-21,6,6,Sun,8,7,68,9.71,0,87.5,8.5,0.0,0.0,0.0,0.0,10.3,140.3125,253.75
866,Allen Robinson,WR,25.051,10/14/2018,NFL,CHI,@,MIA,L 28-31,5,6,Sun,6,5,64,12.8,1,83.3,10.67,0.0,0.0,0.0,0.0,14.9,140.375,236.4375
867,DeAndre Hopkins,WR,26.13,10/14/2018,NFL,HOU,0,BUF,W 20-13,6,6,Sun,6,5,63,12.6,1,83.3,10.5,0.0,0.0,0.0,0.0,14.8,97.9375,171.25
868,Keenan Allen,WR,26.17,10/14/2018,NFL,LAC,@,CLE,W 38-14,6,6,Sun,6,4,62,15.5,0,66.7,10.33,4.0,41.0,10.25,0.0,12.3,115.375,260.25
869,Tyler Boyd,WR,23.333,10/14/2018,NFL,CIN,0,PIT,L 21-28,6,6,Sun,9,7,62,8.86,2,77.8,6.89,0.0,0.0,0.0,0.0,21.7,91.3125,216.375
870,O.J. Howard,TE,23.329,10/14/2018,NFL,TAM,@,ATL,L 29-34,5,6,Sun,4,4,62,15.5,1,100.0,15.5,0.0,0.0,0.0,0.0,14.2,125.0625,233.3125
871,Travis Kelce,TE,29.009,10/14/2018,NFL,KAN,@,NWE,L 40-43,6,6,Sun,9,5,61,12.2,0,55.6,6.78,0.0,0.0,0.0,0.0,8.600000000000001,111.5,239.125
872,Willie Snead,WR,25.362,10/14/2018,NFL,BAL,@,TEN,W 21-0,6,6,Sun,10,7,60,8.57,0,70.0,6.0,0.0,0.0,0.0,0.0,9.5,99.5625,206.625
873,Danny Amendola,WR,32.346,10/14/2018,NFL,MIA,0,CHI,W 31-28,6,6,Sun,11,8,59,7.38,0,72.7,5.36,0.0,0.0,0.0,0.0,9.9,77.8125,213.625
874,D.J. Moore,WR,21.183000000000003,10/14/2018,NFL,CAR,@,WAS,L 17-23,5,6,Sun,5,4,59,14.75,0,80.0,11.8,1.0,18.0,18.0,0.0,9.7,109.5,235.8125
875,Mike Evans,WR,25.054,10/14/2018,NFL,TAM,@,ATL,L 29-34,5,6,Sun,5,4,58,14.5,0,80.0,11.6,0.0,0.0,0.0,0.0,7.8000000000000025,125.0625,233.3125
876,Courtland Sutton,WR,23.004,10/14/2018,NFL,DEN,0,LAR,L 20-23,6,6,Sun,4,3,58,19.33,0,75.0,14.5,0.0,0.0,0.0,0.0,7.3000000000000025,125.25,218.75
877,Terrelle Pryor,WR,29.116,10/14/2018,NFL,NYJ,0,IND,W 42-34,6,6,Sun,6,5,57,11.4,1,83.3,9.5,0.0,0.0,0.0,0.0,14.2,96.75,228.4375
878,Demaryius Thomas,WR,30.29300000000001,10/14/2018,NFL,DEN,0,LAR,L 20-23,6,6,Sun,4,3,57,19.0,1,75.0,14.25,0.0,0.0,0.0,0.0,13.2,125.25,218.75
879,Chris Godwin,WR,22.229,10/14/2018,NFL,TAM,@,ATL,L 29-34,5,6,Sun,9,6,56,9.33,1,66.7,6.22,0.0,0.0,0.0,0.0,14.6,125.0625,233.3125
880,Chris Herndon,TE,22.233,10/14/2018,NFL,NYJ,0,IND,W 42-34,6,6,Sun,2,2,56,28.0,1,100.0,28.0,0.0,0.0,0.0,0.0,12.6,96.75,228.4375
881,David Njoku,TE,22.096,10/14/2018,NFL,CLE,0,LAC,L 14-38,6,6,Sun,12,7,55,7.86,1,58.3,4.58,0.0,0.0,0.0,0.0,15.0,98.1875,210.0625
882,Chester Rogers,WR,24.275,10/14/2018,NFL,IND,@,NYJ,L 34-42,6,6,Sun,10,4,55,13.75,1,40.0,5.5,0.0,0.0,0.0,0.0,13.5,124.4375,228.0625
883,Julian Edelman,WR,32.145,10/14/2018,NFL,NWE,0,KAN,W 43-40,6,6,Sun,7,4,54,13.5,1,57.1,7.71,1.0,7.0,7.0,0.0,14.1,117.375,258.0625
884,C.J. Uzomah,TE,25.273000000000003,10/14/2018,NFL,CIN,0,PIT,L 21-28,6,6,Sun,7,6,54,9.0,0,85.7,7.71,0.0,0.0,0.0,0.0,8.4,91.3125,216.375
885,Brandin Cooks,WR,25.019,10/14/2018,NFL,LAR,@,DEN,W 23-20,6,6,Sun,6,2,53,26.5,0,33.3,8.83,0.0,0.0,0.0,0.0,6.3000000000000025,106.0625,225.625
886,Marcus Johnson,WR,24.07,10/14/2018,NFL,IND,@,NYJ,L 34-42,6,6,Sun,3,2,52,26.0,1,66.7,17.33,0.0,0.0,0.0,0.0,12.2,124.4375,228.0625
887,Cody Latimer,WR,26.001,10/11/2018,NFL,NYG,0,PHI,L 13-34,6,6,Thu,4,3,52,17.33,0,75.0,13.0,0.0,0.0,0.0,0.0,6.7,102.8125,260.75
888,Nick O'Leary,TE,26.044,10/14/2018,NFL,MIA,0,CHI,W 31-28,6,6,Sun,4,4,49,12.25,1,100.0,12.25,0.0,0.0,0.0,0.0,12.9,77.8125,213.625
889,Vernon Davis,WR,34.256,10/14/2018,NFL,WAS,0,CAR,W 23-17,5,6,Sun,3,3,48,16.0,1,100.0,16.0,0.0,0.0,0.0,0.0,12.3,98.75,239.0625
890,Greg Olsen,TE,33.217,10/14/2018,NFL,CAR,@,WAS,L 17-23,5,6,Sun,7,4,48,12.0,0,57.1,6.86,0.0,0.0,0.0,0.0,6.8000000000000025,109.5,235.8125
891,David Moore,WR,23.272,10/14/2018,NFL,SEA,@,OAK,W 27-3,6,6,Sun,3,2,47,23.5,1,66.7,15.67,1.0,5.0,5.0,0.0,12.2,136.6875,222.9375
892,Calvin Ridley,WR,23.298,10/14/2018,NFL,ATL,0,TAM,W 34-29,6,6,Sun,3,3,47,15.67,0,100.0,15.67,0.0,0.0,0.0,0.0,6.2,120.6875,236.875
893,Mohamed Sanu,WR,29.053,10/14/2018,NFL,ATL,0,TAM,W 34-29,6,6,Sun,2,2,46,23.0,1,100.0,23.0,0.0,0.0,0.0,0.0,11.6,120.6875,236.875
894,Odell Beckham,WR,25.34,10/11/2018,NFL,NYG,0,PHI,L 13-34,6,6,Thu,10,6,44,7.33,0,60.0,4.4,0.0,0.0,0.0,0.0,7.4,102.8125,260.75
895,Kelvin Benjamin,WR,27.251,10/14/2018,NFL,BUF,@,HOU,L 13-20,6,6,Sun,6,2,43,21.5,0,33.3,7.17,0.0,0.0,0.0,0.0,5.3,77.5625,226.125
896,Zach Ertz,TE,27.335,10/11/2018,NFL,PHI,@,NYG,W 34-13,6,6,Thu,9,7,43,6.14,1,77.8,4.78,0.0,0.0,0.0,0.0,13.8,121.125,223.5625
897,Torrey Smith,WR,29.261,10/14/2018,NFL,CAR,@,WAS,L 17-23,5,6,Sun,5,5,43,8.6,1,100.0,8.6,0.0,0.0,0.0,0.0,12.8,109.5,235.8125
898,Josh Gordon,WR,27.184,10/14/2018,NFL,NWE,0,KAN,W 43-40,6,6,Sun,9,5,42,8.4,0,55.6,4.67,0.0,0.0,0.0,0.0,6.7,117.375,258.0625
899,Keelan Cole,WR,25.177,10/14/2018,NFL,JAX,@,DAL,L 7-40,6,6,Sun,5,4,41,10.25,0,80.0,8.2,0.0,0.0,0.0,0.0,6.1000000000000005,87.0625,217.9375
900,Robby Anderson,WR,25.158,10/14/2018,NFL,NYJ,0,IND,W 42-34,6,6,Sun,5,3,39,13.0,0,60.0,7.8,0.0,0.0,0.0,0.0,5.4,96.75,228.4375
901,Larry Fitzgerald,WR,35.044000000000004,10/14/2018,NFL,ARI,@,MIN,L 17-27,6,6,Sun,8,5,39,7.8,0,62.5,4.88,0.0,0.0,0.0,0.0,6.4,98.125,177.75
902,Laquon Treadwell,WR,23.122,10/14/2018,NFL,MIN,0,ARI,W 27-17,6,6,Sun,4,4,38,9.5,0,100.0,9.5,0.0,0.0,0.0,0.0,5.8000000000000025,134.9375,198.4375
903,Dede Westbrook,WR,24.327,10/14/2018,NFL,JAX,@,DAL,L 7-40,6,6,Sun,5,3,38,12.67,1,60.0,7.6,0.0,0.0,0.0,0.0,11.3,87.0625,217.9375
904,Pierre Garcon,WR,32.068000000000005,10/15/2018,NFL,SFO,@,GNB,L 30-33,6,6,Mon,6,4,37,9.25,0,66.7,6.17,0.0,0.0,0.0,0.0,5.7,117.875,207.75
905,Lance Kendricks,TE,30.25800000000001,10/15/2018,NFL,GNB,0,SFO,W 33-30,6,6,Mon,4,2,37,18.5,0,50.0,9.25,0.0,0.0,0.0,0.0,4.7,104.75,215.6875
906,Kyle Rudolph,TE,28.339,10/14/2018,NFL,MIN,0,ARI,W 27-17,6,6,Sun,5,4,37,9.25,0,80.0,7.4,0.0,0.0,0.0,0.0,5.7,134.9375,198.4375
907,Sterling Shepard,WR,25.243,10/11/2018,NFL,NYG,0,PHI,L 13-34,6,6,Thu,7,3,37,12.33,0,42.9,5.29,0.0,0.0,0.0,0.0,5.2,102.8125,260.75
908,Jordan Reed,TE,28.103,10/14/2018,NFL,WAS,0,CAR,W 23-17,5,6,Sun,9,5,36,7.2,0,55.6,4.0,0.0,0.0,0.0,0.0,6.1,98.75,239.0625
909,Xavier Grimble,TE,26.022,10/14/2018,NFL,PIT,@,CIN,W 28-21,6,6,Sun,2,2,35,17.5,0,100.0,17.5,0.0,0.0,0.0,0.0,4.5,140.3125,253.75
910,Zay Jones,WR,23.198,10/14/2018,NFL,BUF,@,HOU,L 13-20,6,6,Sun,8,3,35,11.67,1,37.5,4.38,0.0,0.0,0.0,0.0,11.0,77.5625,226.125
911,Zach Pascal,WR,23.3,10/14/2018,NFL,IND,@,NYJ,L 34-42,6,6,Sun,7,5,35,7.0,0,71.4,5.0,1.0,8.0,8.0,0.0,6.8,124.4375,228.0625
912,Kenny Stills,WR,26.175,10/14/2018,NFL,MIA,0,CHI,W 31-28,6,6,Sun,2,1,35,35.0,0,50.0,17.5,0.0,0.0,0.0,0.0,4.0,77.8125,213.625
913,Mo Alie-Cox,TE,25.025,10/14/2018,NFL,IND,@,NYJ,L 34-42,6,6,Sun,2,1,34,34.0,0,50.0,17.0,0.0,0.0,0.0,0.0,3.9,124.4375,228.0625
914,Keke Coutee,WR,21.273000000000003,10/14/2018,NFL,HOU,0,BUF,W 20-13,6,6,Sun,5,3,33,11.0,0,60.0,6.6,0.0,0.0,0.0,0.0,4.800000000000002,97.9375,171.25
915,Stefon Diggs,WR,24.31900000000001,10/14/2018,NFL,MIN,0,ARI,W 27-17,6,6,Sun,4,3,33,11.0,0,75.0,8.25,1.0,9.0,9.0,0.0,5.7,134.9375,198.4375
916,Will Fuller,WR,24.181,10/14/2018,NFL,HOU,0,BUF,W 20-13,6,6,Sun,3,2,33,16.5,0,66.7,11.0,0.0,0.0,0.0,0.0,4.300000000000002,97.9375,171.25
917,Justin Hardy,WR,26.3,10/14/2018,NFL,ATL,0,TAM,W 34-29,6,6,Sun,7,3,33,11.0,0,42.9,4.71,0.0,0.0,0.0,0.0,4.800000000000002,120.6875,236.875
918,Tajae Sharpe,WR,23.295,10/14/2018,NFL,TEN,0,BAL,L 0-21,6,6,Sun,2,2,33,16.5,0,100.0,16.5,0.0,0.0,0.0,0.0,4.300000000000002,77.125,177.4375
919,Jakeem Grant,WR,26.014,10/14/2018,NFL,MIA,0,CHI,W 31-28,6,6,Sun,4,3,32,10.67,0,75.0,8.0,0.0,0.0,0.0,0.0,4.7,77.8125,213.625
920,Paul Richardson,WR,26.184,10/14/2018,NFL,WAS,0,CAR,W 23-17,5,6,Sun,5,3,31,10.33,1,60.0,6.2,0.0,0.0,0.0,0.0,10.6,98.75,239.0625
921,Seth Roberts,WR,27.234,10/14/2018,NFL,OAK,0,SEA,L 3-27,6,6,Sun,6,5,31,6.2,0,83.3,5.17,0.0,0.0,0.0,0.0,5.6,108.125,235.6875
922,George Kittle,TE,25.006,10/15/2018,NFL,SFO,@,GNB,L 30-33,6,6,Mon,6,4,30,7.5,0,66.7,5.0,0.0,0.0,0.0,0.0,5.0,117.875,207.75
923,Anthony Miller,WR,24.005,10/14/2018,NFL,CHI,@,MIA,L 28-31,5,6,Sun,4,1,29,29.0,1,25.0,7.25,0.0,0.0,0.0,0.0,9.4,140.375,236.4375
924,James O'Shaughnessy,TE,26.273000000000003,10/14/2018,NFL,JAX,@,DAL,L 7-40,6,6,Sun,4,3,29,9.67,0,75.0,7.25,0.0,0.0,0.0,0.0,4.4,87.0625,217.9375
925,John Brown,WR,28.19400000000001,10/14/2018,NFL,BAL,@,TEN,W 21-0,6,6,Sun,3,2,28,14.0,0,66.7,9.33,0.0,0.0,0.0,0.0,3.8,99.5625,206.625
926,Michael Gallup,WR,22.193,10/14/2018,NFL,DAL,0,JAX,W 40-7,6,6,Sun,2,1,27,27.0,0,50.0,13.5,0.0,0.0,0.0,0.0,3.2,111.0625,191.8125
